day,sec,name,value
0,601,add,536871428
0,601,1,780.00
0,601,1,780.00
0,601,1,780.00
0,601,0,780.00
0,601,1,780.00
0,601,1,781.00
0,601,0,781.00
0,601,1,780.00
0,601,1,780.00
0,601,1,780.00
0,601,1,780.00
0,601,0,780.00
0,601,0,780.00
0,601,0,780.00
0,601,1,780.00
0,601,0,780.00
0,601,1,780.00
0,601,1,780.00
0,601,1,780.00
0,601,0,781.00
0,601,1,780.00
0,601,1,781.00
0,601,0,781.00
0,601,1,781.00
0,601,0,780.00
0,601,0,780.00
0,601,0,780.00
0,601,1,780.00
0,601,1,780.00
0,601,1,780.00
0,601,0,780.00
0,601,1,780.00
0,601,add,536871556
0,601,1,781.00
0,601,1,780.00
0,601,1,780.00
0,601,0,781.00
0,601,1,780.00
0,601,1,781.00
0,601,0,780.00
0,601,1,780.00
0,601,1,780.00
0,601,1,780.00
0,601,1,780.00
0,601,0,781.00
0,601,0,781.00
0,601,0,780.00
0,601,1,780.00
0,601,0,780.00
0,601,0,780.00
0,601,0,781.00
0,601,0,781.00
0,601,1,780.00
0,601,0,781.00
0,601,0,780.00
0,601,1,780.00
0,601,0,781.00
0,601,1,780.00
0,601,1,780.00
0,601,1,781.00
0,601,0,781.00
0,601,0,780.00
0,601,0,780.00
0,601,1,780.00
0,601,0,781.00
0,1202,add,536871428
0,1202,1,782.00
0,1202,1,782.00
0,1202,1,782.00
0,1202,0,782.00
0,1202,1,782.00
0,1202,1,782.00
0,1202,0,782.00
0,1202,1,782.00
0,1202,1,782.00
0,1202,1,782.00
0,1202,1,782.00
0,1202,0,782.00
0,1202,0,782.00
0,1202,0,782.00
0,1202,1,782.00
0,1202,0,781.00
0,1202,1,782.00
0,1202,1,782.00
0,1202,1,782.00
0,1202,0,782.00
0,1202,1,781.00
0,1202,1,782.00
0,1202,0,782.00
0,1202,1,782.00
0,1202,0,782.00
0,1202,0,782.00
0,1202,0,782.00
0,1202,1,782.00
0,1202,1,782.00
0,1202,1,782.00
0,1202,0,782.00
0,1202,1,781.00
0,1202,add,536871556
0,1202,1,782.00
0,1202,1,782.00
0,1202,1,781.00
0,1202,0,782.00
0,1202,1,782.00
0,1202,1,782.00
0,1202,0,782.00
0,1202,1,782.00
0,1202,1,781.00
0,1202,1,782.00
0,1202,1,782.00
0,1202,0,782.00
0,1202,0,782.00
0,1202,0,782.00
0,1202,1,782.00
0,1202,0,782.00
0,1202,0,782.00
0,1202,0,782.00
0,1202,0,781.00
0,1202,1,782.00
0,1202,0,781.00
0,1202,0,782.00
0,1202,1,782.00
0,1202,0,782.00
0,1202,1,782.00
0,1202,1,782.00
0,1202,1,782.00
0,1202,0,782.00
0,1202,0,782.00
0,1202,0,782.00
0,1202,1,781.00
0,1202,0,782.00
0,1803,add,536871428
0,1803,1,782.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,0,783.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,0,783.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,0,783.00
0,1803,0,782.00
0,1803,0,782.00
0,1803,1,782.00
0,1803,0,783.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,0,782.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,0,782.00
0,1803,1,782.00
0,1803,0,783.00
0,1803,0,782.00
0,1803,0,783.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,0,782.00
0,1803,1,782.00
0,1803,add,536871556
0,1803,1,782.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,0,782.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,0,783.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,0,782.00
0,1803,0,783.00
0,1803,0,782.00
0,1803,1,782.00
0,1803,0,782.00
0,1803,0,783.00
0,1803,0,783.00
0,1803,0,783.00
0,1803,1,782.00
0,1803,0,782.00
0,1803,0,782.00
0,1803,1,782.00
0,1803,0,783.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,1,782.00
0,1803,0,783.00
0,1803,0,783.00
0,1803,0,782.00
0,1803,1,782.00
0,1803,0,783.00
0,2404,add,536871428
0,2404,1,782.00
0,2404,1,782.00
0,2404,1,782.00
0,2404,0,782.00
0,2404,1,782.00
0,2404,1,782.00
0,2404,0,783.00
0,2404,1,782.00
0,2404,1,783.00
0,2404,1,782.00
0,2404,1,782.00
0,2404,0,782.00
0,2404,0,783.00
0,2404,0,782.00
0,2404,1,782.00
0,2404,0,783.00
0,2404,1,782.00
0,2404,1,782.00
0,2404,1,782.00
0,2404,0,783.00
0,2404,1,782.00
